name,name_cn,info,score,score_count,rank,type,tags
1000酱！SSD,1000ちゃんねる,6话 /  2015-06-02 / OIZUMI、オーイズミ,5.9,(10人评分),,,"WEB,2015,萝莉,TV,2015年6月,原创,萌,泡面番,续期,2015年,国产,日本,2015年四月番,1000酱,OIZUMI,期待"
王子与108煞,108 Rois-Démons,1话 /  2015-01-21(法国) / 2015-08-21(中国大陆) / Pascal Morelli,,(少于10人评分),,,"剧场版,动画电影,中国,法国,2015,欧美,无,中外合作,比利时,卢森堡,2015年01月"
12岁 第二季,12歳。 第2期,4话 /  2015年7月3日,5.8,(82人评分),Rank 6388,,"OVA,漫画改,恋爱,2015,OAD,校园,2015年7月,少女,少女漫,SynergySP,漫改,日本动画,日本,LOLI,2015年,漫画改编,少女向,¬,2016,已保存,续期,斉藤壮馬,12岁"
4月25日,25 April,1话 /  2015-09-14,,(少于10人评分),,,"剧场版,欧美,2016,アニメ映画,MatthewMetcalfe,Pooley,TimWoodhouse,Leanne,新西兰动画"
2B HERO,,1话 /  2015年6月19日 / 李豪凌,5.7,(45人评分),,,"WEB,国产,搞笑,亲情,2015,短片,李豪凌,中国,动画,推荐,悬疑,OVA,坑,温馨,奇幻,绘梦动画,突变英雄,二〇一五年,独立OVA、OAD、特番,2BHERO,网络动画"
3Ping Lovers！☆欢迎来到一夫二妻的世界♪ THE ANIMATION,3Ping Lovers！☆一夫二妻の世界へようこそ♪ THE ANIMATION,1话 /  2015年5月22日,5.9,(333人评分),Rank 7206,,
事故、失误和灾难,"Accidents, Blunders and Calamities",1话 /  2015年11月12日,,(少于10人评分),,,"短片,欧美,2015,3D"
探险活宝 第六季短篇,Adventure Time season 6 shorts,4话 /  2015年7月6日,6.3,(12人评分),,,"TV,欧美,2015,美国,原创,CARTOONNETWORK,探险活宝,FrederatorStudios"
探险活宝 第七季,Adventure Time season 7,39话 /  2015年11月2日,8.0,(122人评分),Rank 530,,"TV,美国,欧美,2015,搞笑,原创,动画,脑洞,百合,剧集,2015年11月,喜剧,无,冒险,动作,TVA,怪异,日常,CARTOONNETWORK,AdventureTime"
相似,Alike,1话 /  2015年11月6日 / Rafa Cano Méndez / Daniel Martínez Lara,5.3,(15人评分),,,"短片,2015,欧美,2022,治愈,独立动画,DanielMartínezLara,RafaCanoMéndez,西班牙,AM,西班牙动画"
睡石,An Object at Rest,2015年4月27日 / Seth Boyden,,(少于10人评分),,,"短片,欧美,2015,美国"
天使的心跳！地狱厨房,Angel Beats! Hell's Kitchen,1话 /  2015年6月24日 / 岸誠二 / 麻枝准(Key/VISUAL ARTS) / 平田雄三,6.5,(1764人评分),Rank 4888,,"校园,OVA,原创,P.A.WORKS,麻枝准,2015,搞笑,key,2015年6月,花泽香菜,岸诚二,神谷浩史,奇幻,2015年,治愈,战斗,岸誠二,日常,日本,番外,催泪,木村良平,恋爱,日本动画,AngleBeats!,OVA&OAD,AngelBeats!"
愤怒的小鸟史黛拉 第二季,Angry Birds Stella (Season 2),"13话 /  2015年10月9日 / Eric Guaglione,Kari Juusonen",,(少于10人评分),,,"TV,日常,欧美,2015,泡面番,游戏改,搞笑"
Animation has no borders,,2015 / Peter Sweenen,,,,,"2015,短片,Sweenen,实验,荷兰"
火柴人 VS 我的世界,Animation vs. Minecraft,2015,7.6,(50人评分),,,"WEB,原创,欧美,短片,战斗,热血,2015,穿越,火柴人,mc,泪目"
失常,Anomalisa,1话 /  2015年12月30日 / Charlie Kaufman / Duke Johnson,7.2,(28人评分),,,"剧场版,定格动画,2015,欧美,美国,动画电影,原创,剧场,奥斯卡,2010-2019,人生,电影,无,2015年,アニメ映画,美国动画,CharlieKaufman,DukeJohnson,伪,DavidThewlis,Charlie_Kaufman,Duke_Johnson,有事后一根烟,R级,非日本動畫電影"
Anorsel -A Mysterious Ritual,,1话 /  2015年12月05日,4.0,(11人评分),,,
苹果核战记α,AppleSeed Alpha,1话 /  2014年7月15日(北美碟片发售) / 荒牧伸志 / 士郎正宗,6.4,(166人评分),Rank 4755,,"剧场版,士郎正宗,3D,2014,科幻,CG,2014年7月,漫画改,2010-2019,2014年,劇場版,漫改,动画,枪战,日本,アニメ映画,『剧场版』,神作,諏訪部順一,苹果核战记阿尔法,荒牧伸志,苹果核战记"
饮料杯历险记 第十一季,Aqua Teen Hunger Force Season 11,9话 /  2015年6月21日,,,,,"TV,欧美"
间谍亚契 第六季,Archer (Season 6),13话 /  2015年1月9日,,(少于10人评分),,,"TV,欧美,2015,美国,TVA,Matt_Thompson,Adam_Reed,Bryan_Fordney,成人"
水星领航员 The AVVENIRE,ARIA The AVVENIRE,3话 /  2015年9月26日 / 佐藤順一 / 天野こずえ「ARIA」（ブレイドコミックス／マッグガーデン刊） / 音地正行,8.3,(1514人评分),Rank 93,,"日本,OVA,漫画改,日常,治愈,水星领航员,2015,ARIA,剧场版,佐藤顺一,TYOAnimations,百合,漫改,吉田玲子,佐藤順一,科幻,治愈系神作,2015年,补旧番,奇幻,续作,治愈系,HalFilmMaker,轻百合,动画,天野こずえ,2015年9月"
太空夺旗,Atrapa la Bandera,1话 /  2015-08-28(西班牙) / Enrique Gato,,(少于10人评分),,,"剧场版,欧美"
阿薇尔与虚构世界,Avril et le Monde truqué,1话 /  2015年11月4日(法国) / Christian Desmares / Franck Ekinci,6.7,(136人评分),Rank 3291,,"剧场版,漫画改,法国,欧美,蒸汽朋克,2015,科幻,动画电影,电影,原创,2010-2019,アニメ映画,架空,无,冒险"
拳击手,BAM,1话 /  2015 / Howie Shia,,,,,
芭比与姐妹之狗狗大冒险,Barbie and Her Sisters in the Great Puppy Adventure,1话 /  2015-10-20,,(少于10人评分),,,"剧场版,欧美,无,2015,芭比"
芭比之公主的力量,Barbie in Princess Power,1话 /  2015-03-04,,(少于10人评分),,,"剧场版,欧美,美国,2015,3D,芭比"
芭比之皇室摇滚,Barbie In Rock 'N Royals,1话 /  2015-08-13,,(少于10人评分),,,"剧场版,欧美,电影,无,芭比"
BAR 被讨厌的蔬菜,BAR嫌われ野菜,13话 /  2015年4月7日,,(少于10人评分),,,"TV,日本,2015年4月,2015,萌,2015年,GATHERING,泡面番,搞笑,201504,2015年四月番,近藤孝行"
蝙蝠侠无限: 动物本能,Batman Unlimited: Animal Instincts,1话 /  2015年5月12日 / Butch Lukic,4.9,(20人评分),,,"OVA,dc,欧美,超级英雄,动画电影,2015,漫画改,剧场版,搞笑,美国,电影,无,Butch.Lukic"
蝙蝠侠无极限：怪兽来袭,Batman Unlimited: Monster Mayhem,1话 /  2015年8月18日 / Butch Lukic,,(少于10人评分),,,"剧场版,欧美,2015,dc,无,动画电影"
蝙蝠侠VS罗宾,Batman vs. Robin,"1话 /  2015年4月7日(数字版)、2015年4月14日(实体版) / Jay Oliva / ""Batman: The Court of Owls"" by Scott Snyder、Greg Capullo、Jonathan Glapion",5.6,(77人评分),Rank 6828,,"剧场版,欧美,dc,2015,漫画改,超级英雄,动画电影,美国动画,动画,无,电影,科幻,漫改,Warner.Bros.Animation"
泗水之战,Battle of Surabaya,1话 /  2015年8月20日 / Aryanto Yuniawan,,,,,"剧场版,2015,无,动画,印度尼西亚,印尼"
Berg,,1话 /  2015年3月10日 / 稲葉秀樹,,(少于10人评分),,,"WEB,空,mv,短片,日美合作"
